module,method,physical_mean_min_contact_distance_m,physical_mean_max_contact_distance_m,physical_mean_contact_distance_m,physical_ncs,physical_mean_penetration_m,physical_max_penetration_m,semantics_clip_score,vlm_target_object_score,vlm_human_action_score,vlm_contact_score,vlm_physical_plausibility_score,vlm_mean_score,diversity_entropy,diversity_cluster_size
06,Module 06,0.008864532950995626,0.08727801277882595,0.03870799694871665,0.9993880745341616,0.005106556269785632,0.01734050073782387,0.2724691110460654,4.782608695652174,3.9130434782608696,3.5217391304347827,3.869565217391304,4.021739130434782,2.5475313664679273,2.680842638015747
07,PhySIC,0.12124276059017258,0.2161146070835167,0.1655502689678384,0.9980660248447204,0.013968811248955519,0.033825383238170456,0.270371015952981,4.608695652173913,3.5652173913043477,3.0869565217391304,3.3043478260869565,3.641304347826087,2.532757537181371,2.5342819690704346
08,PROX,0.1083067728597097,0.21269363265052654,0.15677513261393144,0.9981033540372669,0.013768922972857305,0.034744402636652405,0.27402006225741427,4.521739130434782,3.5652173913043477,3.0434782608695654,3.347826086956522,3.619565217391304,2.426984030718372,2.5743019580841064
09,GenZI,0.5545305400681884,0.6920215361576149,0.6272438590401326,0.9981909937888199,0.017953049867292462,0.045844457395698715,0.2592458018790121,1.9130434782608696,1.2173913043478262,1.0434782608695652,1.608695652173913,1.4456521739130435,2.48725769859315,2.4113025665283203
